seic,seic_benefit,SEIC ERROR,health,health_benefit,Health ERROR,house,house_benefit,House ERROR,nutrition,nutrition_benefit,Nutrition ERROR,livelihood,livelihood_benefit,livelihood ERROR,education,education_benefit,Education ERROR,scheme1,scheme1_benefit,Scheme-1 ERROR,scheme2,scheme2_benefit,Scheme-2 ERROR
54,97930,No Error,77,76494,No Error,48,48429,No Error,48,6586,No Error,37,7219,No Error,62,74548,No Error,89,Non-Eligible,EOE,94,Eligible,No Error
65,1377,No Error,51,26442,No Error,66,66576,No Error,82,43498,No Error,71,91686,No Error,56,24616,No Error,20,Non-Eligible,No Error,23,Non-Eligible,No Error
79,88404,No Error,98,74235,No Error,97,61040,No Error,89,55503,No Error,32,60424,No Error,81,56585,No Error,80,Eligible,No Error,29,Eligible,No Error
63,7618,No Error,41,74392,No Error,70,42888,No Error,87,24656,No Error,45,46427,No Error,72,45466,No Error,47,Non-Eligible,No Error,66,Non-Eligible,No Error
36,11917,No Error,53,27091,No Error,54,755,No Error,34,2402,No Error,10,3016,No Error,30,9648,No Error,44,Non-Eligible,No Error,10,Non-Eligible,No Error
75,48093,No Error,81,43536,No Error,32,42161,No Error,96,32413,No Error,97,5012,EOE,69,45809,No Error,46,Non-Eligible,No Error,70,Non-Eligible,No Error
52,55475,No Error,54,14404,No Error,58,21758,No Error,70,47672,No Error,47,98588,No Error,31,32409,No Error,50,Eligible,No Error,85,Non-Eligible,EOE
67,20507,No Error,44,186,No Error,35,73290,No Error,84,79604,No Error,98,77760,No Error,74,27044,No Error,100,Eligible,No Error,74,Eligible,No Error
65,25114,No Error,51,75714,No Error,95,10725,No Error,15,33837,No Error,95,63065,No Error,69,15751,No Error,28,Eligible,No Error,73,Non-Eligible,No Error
69,49777,No Error,48,9870,No Error,56,3341,No Error,64,20342,No Error,99,29645,No Error,82,47682,No Error,97,Non-Eligible,EOE,11,Non-Eligible,No Error
51,22331,No Error,27,54146,No Error,46,74150,No Error,82,66197,No Error,19,36098,No Error,85,35314,No Error,42,Eligible,No Error,48,Eligible,No Error
66,80212,No Error,23,520,No Error,84,62195,No Error,48,1315,No Error,84,26253,No Error,92,39084,No Error,29,Non-Eligible,No Error,21,Eligible,No Error
